ID,date,county,state,fips,cases,deaths
113,4/6/20,Kauai,Hawaii,15007,17,0
114,4/6/20,Maui,Hawaii,15009,44,1
115,4/6/20,Unknown,Hawaii,,9,0
116,4/7/20,Hawaii,Hawaii,15001,23,0
117,4/7/20,Honolulu,Hawaii,15003,312,4
118,4/7/20,Kauai,Hawaii,15007,18,0
119,4/7/20,Maui,Hawaii,15009,48,1
120,4/7/20,Unknown,Hawaii,,7,0
121,4/8/20,Hawaii,Hawaii,15001,26,0
122,4/8/20,Honolulu,Hawaii,15003,328,4
123,4/8/20,Kauai,Hawaii,15007,18,0
124,4/8/20,Maui,Hawaii,15009,54,1
125,4/8/20,Unknown,Hawaii,,7,0
